gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
Rv0970	CCP43719	CCP43719	P9WKL7	Uniprot/SWISSPROT	NONE	100	100	-
Rv0971c	CCP43720	CCP43720	P71540	Uniprot/SPTREMBL	NONE	100	100	-
Rv0972c	CCP43721	CCP43721	P9WQG3	Uniprot/SWISSPROT	NONE	100	100	-
Rv0973c	CCP43722	CCP43722	P71538	Uniprot/SPTREMBL	NONE	100	100	-
Rv0974c	CCP43723	CCP43723	O86318	Uniprot/SPTREMBL	NONE	100	100	-
Rv0975c	CCP43724	CCP43724	O86319	Uniprot/SPTREMBL	NONE	100	100	-
Rv0976c	CCP43725	CCP43725	O86320	Uniprot/SPTREMBL	NONE	100	100	-
Rv0977	CCP43726	CCP43726	Q79FU3	Uniprot/SPTREMBL	NONE	100	100	-
Rv0978c	CCP43727	CCP43727	Q79FU2	Uniprot/SPTREMBL	NONE	100	100	-
Rv0979c	CCP43728	CCP43728	O53892	Uniprot/SPTREMBL	NONE	100	100	-
Rv0979A	CCP43729	CCP43729	P9WH99	Uniprot/SWISSPROT	NONE	100	100	-
Rv0980c	CCP43730	CCP43730	Q79FU0	Uniprot/SPTREMBL	NONE	100	100	-
Rv0981	CCP43731	CCP43731	P9WGM9	Uniprot/SWISSPROT	NONE	100	100	-
Rv0982	CCP43732	CCP43732	P9WGL1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0983	CCP43733	CCP43733	O53896	Uniprot/SPTREMBL	NONE	100	100	-
Rv0984	CCP43734	CCP43734	O53897	Uniprot/SPTREMBL	NONE	100	100	-
Rv0985c	CCP43735	CCP43735	P9WJN5	Uniprot/SWISSPROT	NONE	100	100	-
Rv0986	CCP43736	CCP43736	P9WQK1	Uniprot/SWISSPROT	NONE	100	100	-
Rv0987	CCP43737	CCP43737	O53900	Uniprot/SPTREMBL	NONE	100	100	-
Rv0988	CCP43738	CCP43738	O86370	Uniprot/SPTREMBL	NONE	100	100	-
Rv0989c	CCP43739	CCP43739	O05572	Uniprot/SPTREMBL	NONE	100	100	-
Rv0990c	CCP43740	CCP43740	O05573	Uniprot/SPTREMBL	NONE	100	100	-
Rv0991c	CCP43741	CCP43741	O05574	Uniprot/SPTREMBL	NONE	100	100	-
Rv0992c	CCP43742	CCP43742	O05575	Uniprot/SPTREMBL	NONE	100	100	-
Rv0993	CCP43743	CCP43743	O05576	Uniprot/SPTREMBL	NONE	100	100	-
Rv0994	CCP43744	CCP43744	P9WJQ7	Uniprot/SWISSPROT	NONE	100	100	-
Rv0995	CCP43745	CCP43745	O05578	Uniprot/SPTREMBL	NONE	100	100	-
Rv0996	CCP43746	CCP43746	O05579	Uniprot/SPTREMBL	NONE	100	100	-
Rv0997	CCP43747	CCP43747	O05580	Uniprot/SPTREMBL	NONE	100	100	-
Rv0998	CCP43748	CCP43748	O05581	Uniprot/SWISSPROT	NONE	100	100	-
Rv0999	CCP43749	CCP43749	O05582	Uniprot/SPTREMBL	NONE	100	100	-
Rv1000c	CCP43750	CCP43750	L7N6A4	Uniprot/SPTREMBL	NONE	100	100	-
Rv1001	CCP43751	CCP43751	P9WQ05	Uniprot/SWISSPROT	NONE	100	100	-
Rv1002c	CCP43752	CCP43752	P9WN05	Uniprot/SWISSPROT	NONE	100	100	-
Rv1003	CCP43753	CCP43753	P9WGW7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1004c	CCP43754	CCP43754	O05589	Uniprot/SPTREMBL	NONE	100	100	-
Rv1005c	CCP43755	CCP43755	O05591	Uniprot/SPTREMBL	NONE	100	100	-
Rv1006	CCP43756	CCP43756	O05592	Uniprot/SPTREMBL	NONE	100	100	-
Rv1007c	CCP43757	CCP43757	P9WFU5	Uniprot/SWISSPROT	NONE	100	100	-
Rv1008	CCP43758	CCP43758	O08343	Uniprot/SWISSPROT	NONE	100	100	-
Rv1009	CCP43759	CCP43759	P9WG29	Uniprot/SWISSPROT	NONE	100	100	-
Rv1010	CCP43760	CCP43760	P9WH07	Uniprot/SWISSPROT	NONE	100	100	-
Rv1011	CCP43761	CCP43761	P9WKG7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1012	CCP43762	CCP43762	O05597	Uniprot/SPTREMBL	NONE	100	100	-
Rv1013	CCP43763	CCP43763	O05598	Uniprot/SWISSPROT	NONE	100	100	-
Rv1014c	CCP43764	CCP43764	P9WHN7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1015c	CCP43765	CCP43765	P9WHB5	Uniprot/SWISSPROT	NONE	100	100	-
Rv1016c	CCP43766	CCP43766	P9WK59	Uniprot/SWISSPROT	NONE	100	100	-
Rv1017c	CCP43767	CCP43767	P9WKE3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1018c	CCP43768	CCP43768	P9WMN3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1019	CCP43769	CCP43769	P96381	Uniprot/SPTREMBL	NONE	100	100	-
Rv1020	CCP43770	CCP43770	P9WMQ5	Uniprot/SWISSPROT	NONE	100	100	-
Rv1021	CCP43771	CCP43771	P96379	Uniprot/SWISSPROT	NONE	100	100	-
Rv1022	CCP43772	CCP43772	P96378	Uniprot/SPTREMBL	NONE	100	100	-
Rv1023	CCP43773	CCP43773	P9WNL1	Uniprot/SWISSPROT	NONE	100	100	-
Rv1024	CCP43774	CCP43774	P96376	Uniprot/SPTREMBL	NONE	100	100	-
Rv1025	CCP43775	CCP43775	P96375	Uniprot/SPTREMBL	NONE	100	100	-
Rv1026	CCP43776	CCP43776	P96374	Uniprot/SPTREMBL	NONE	100	100	-
Rv1027c	CCP43777	CCP43777	P9WGN1	Uniprot/SWISSPROT	NONE	100	100	-
Rv1028c	CCP43778	CCP43778	P9WGL3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1028A	CCP43779	CCP43779	Q79FT7	Uniprot/SPTREMBL	NONE	100	100	-
Rv1029	CCP43780	CCP43780	P9WKF3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1030	CCP43781	CCP43781	P9WPU3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1031	CCP43782	CCP43782	P9WKF1	Uniprot/SWISSPROT	NONE	100	100	-
Rv1032c	CCP43783	CCP43783	P96368	Uniprot/SPTREMBL	NONE	100	100	-
Rv1033c	CCP43784	CCP43784	L7N689	Uniprot/SPTREMBL	NONE	100	100	-
Rv1034c	CCP43785	CCP43785	I6X043	Uniprot/SPTREMBL	NONE	100	100	-
Rv1035c	CCP43786	CCP43786	P96366	Uniprot/SPTREMBL	NONE	100	100	-
Rv1036c	CCP43787	CCP43787	P96365	Uniprot/SPTREMBL	NONE	100	100	-
Rv1037c	CCP43788	CCP43788	P0DOA6	Uniprot/SWISSPROT	NONE	100	100	-
Rv1038c	CCP43789	CCP43789	P9WNJ9	Uniprot/SWISSPROT	NONE	100	100	-
Rv1039c	CCP43790	CCP43790	P9WI31	Uniprot/SWISSPROT	NONE	100	100	-
Rv1040c	CCP43791	CCP43791	L7N667	Uniprot/SPTREMBL	NONE	100	100	-
Rv1041c	CCP43792	CCP43792	P96360	Uniprot/SPTREMBL	NONE	100	100	-
Rv1042c	CCP43793	CCP43793	L0T897	Uniprot/SPTREMBL	NONE	100	100	-
Rv1043c	CCP43794	CCP43794	P96358	Uniprot/SPTREMBL	NONE	100	100	-
Rv1044	CCP43795	CCP43795	P96357	Uniprot/SPTREMBL	NONE	100	100	-
Rv1045	CCP43796	CCP43796	P96356	Uniprot/SPTREMBL	NONE	100	100	-
Rv1046c	CCP43797	CCP43797	L0T8G6	Uniprot/SPTREMBL	NONE	100	100	-
Rv1047	CCP43798	CCP43798	P96354	Uniprot/SPTREMBL	NONE	100	100	-
Rv1048c	CCP43799	CCP43799	P96353	Uniprot/SPTREMBL	NONE	100	100	-
Rv1049	CCP43800	CCP43800	I6Y5H3	Uniprot/SPTREMBL	NONE	100	100	-
Rv1050	CCP43801	CCP43801	O53398	Uniprot/SPTREMBL	NONE	100	100	-
Rv1051c	CCP43802	CCP43802	O53399	Uniprot/SPTREMBL	NONE	100	100	-
Rv1052	CCP43803	CCP43803	O53400	Uniprot/SPTREMBL	NONE	100	100	-
Rv1053c	CCP43804	CCP43804	O53401	Uniprot/SPTREMBL	NONE	100	100	-
Rv1054	CCP43805	CCP43805	O53402	Uniprot/SPTREMBL	NONE	100	100	-
Rv1055	CCP43806	CCP43806	O53403	Uniprot/SPTREMBL	NONE	100	100	-
Rv1056	CCP43807	CCP43807	O53404	Uniprot/SPTREMBL	NONE	100	100	-
Rv1057	CCP43808	CCP43808	O53405	Uniprot/SPTREMBL	NONE	100	100	-
Rv1058	CCP43809	CCP43809	O53406	Uniprot/SPTREMBL	NONE	100	100	-
Rv1059	CCP43810	CCP43810	O53407	Uniprot/SPTREMBL	NONE	100	100	-
Rv1060	CCP43811	CCP43811	O53408	Uniprot/SPTREMBL	NONE	100	100	-
Rv1061	CCP43812	CCP43812	O53409	Uniprot/SPTREMBL	NONE	100	100	-
Rv1062	CCP43813	CCP43813	O53410	Uniprot/SPTREMBL	NONE	100	100	-
Rv1063c	CCP43814	CCP43814	P9WIY9	Uniprot/SWISSPROT	NONE	100	100	-
Rv1064c	CCP43815	CCP43815	P9WK57	Uniprot/SWISSPROT	NONE	100	100	-
Rv1065	CCP43816	CCP43816	O53413	Uniprot/SPTREMBL	NONE	100	100	-
Rv1066	CCP43817	CCP43817	O53414	Uniprot/SPTREMBL	NONE	100	100	-
Rv1067c	CCP43818	CCP43818	Q79FT3	Uniprot/SPTREMBL	NONE	100	100	-
Rv1068c	CCP43819	CCP43819	P9WIF9	Uniprot/SWISSPROT	NONE	100	100	-
Rv1069c	CCP43820	CCP43820	O53417	Uniprot/SPTREMBL	NONE	100	100	-
Rv1070c	CCP43821	CCP43821	P9WNN9	Uniprot/SWISSPROT	NONE	100	100	-
Rv1071c	CCP43822	CCP43822	O53419	Uniprot/SPTREMBL	NONE	100	100	-
Rv1072	CCP43823	CCP43823	O53420	Uniprot/SPTREMBL	NONE	100	100	-
Rv1073	CCP43824	CCP43824	O53421	Uniprot/SPTREMBL	NONE	100	100	-
Rv1074c	CCP43825	CCP43825	O53422	Uniprot/SPTREMBL	NONE	100	100	-
Rv1075c	CCP43826	CCP43826	O53423	Uniprot/SPTREMBL	NONE	100	100	-
Rv1076	CCP43827	CCP43827	O53424	Uniprot/SPTREMBL	NONE	100	100	-
Rv1077	CCP43828	CCP43828	P9WP51	Uniprot/SWISSPROT	NONE	100	100	-
Rv1078	CCP43829	CCP43829	P9WIM7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1079	CCP43830	CCP43830	P9WGB7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1080c	CCP43831	CCP43831	P9WMT9	Uniprot/SWISSPROT	NONE	100	100	-
Rv1081c	CCP43832	CCP43832	O53429	Uniprot/SPTREMBL	NONE	100	100	-
Rv1082	CCP43833	CCP43833	P9WJN1	Uniprot/SWISSPROT	NONE	100	100	-
Rv1083	CCP43834	CCP43834	O53431	Uniprot/SPTREMBL	NONE	100	100	-
Rv1084	CCP43835	CCP43835	O53432	Uniprot/SPTREMBL	NONE	100	100	-
Rv1085c	CCP43836	CCP43836	P9WFN7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1086	CCP43837	CCP43837	P9WFF5	Uniprot/SWISSPROT	NONE	100	100	-
Rv1087	CCP43838	CCP43838	Q79FT0	Uniprot/SPTREMBL	NONE	100	100	-
Rv1087A	CCP43839	CCP43839	L7N654	Uniprot/SPTREMBL	NONE	100	100	-
Rv1088	CCP43840	CCP43840	Q79FS8	Uniprot/SPTREMBL	NONE	100	100	-
Rv1089	CCP43841	CCP43841	L0T5T4	Uniprot/SPTREMBL	NONE	100	100	-
Rv1089A	CCP43842	CCP43842	Q79FS6	Uniprot/SPTREMBL	NONE	100	100	-
Rv1090	CCP43843	CCP43843	O53438	Uniprot/SPTREMBL	NONE	100	100	-
Rv1091	CCP43844	CCP43844	Q79FS5	Uniprot/SPTREMBL	NONE	100	100	-
Rv1092c	CCP43845	CCP43845	P9WPA7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1093	CCP43846	CCP43846	P9WGI9	Uniprot/SWISSPROT	NONE	100	100	-
Rv1094	CCP43847	CCP43847	P9WNZ5	Uniprot/SWISSPROT	NONE	100	100	-
Rv1095	CCP43848	CCP43848	O53443	Uniprot/SPTREMBL	NONE	100	100	-
Rv1096	CCP43849	CCP43849	O53444	Uniprot/SPTREMBL	NONE	100	100	-
Rv1097c	CCP43850	CCP43850	O53445	Uniprot/SPTREMBL	NONE	100	100	-
Rv1098c	CCP43851	CCP43851	P9WN93	Uniprot/SWISSPROT	NONE	100	100	-
Rv1099c	CCP43852	CCP43852	P9WN21	Uniprot/SWISSPROT	NONE	100	100	-
Rv1100	CCP43853	CCP43853	O53448	Uniprot/SPTREMBL	NONE	100	100	-
Rv1101c	CCP43854	CCP43854	P9WFM3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1102c	CCP43855	CCP43855	P9WIH9	Uniprot/SWISSPROT	NONE	100	100	-
Rv1103c	CCP43856	CCP43856	O53451	Uniprot/SWISSPROT	NONE	100	100	-
Rv1104	CCP43857	CCP43857	O53452	Uniprot/SPTREMBL	NONE	100	100	-
Rv1105	CCP43858	CCP43858	O53453	Uniprot/SPTREMBL	NONE	100	100	-
Rv1106c	CCP43859	CCP43859	P9WQP7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1107c	CCP43860	CCP43860	P9WF29	Uniprot/SWISSPROT	NONE	100	100	-
Rv1108c	CCP43861	CCP43861	P9WF31	Uniprot/SWISSPROT	NONE	100	100	-
Rv1109c	CCP43862	CCP43862	P9WM59	Uniprot/SWISSPROT	NONE	100	100	-
Rv1110	CCP43863	CCP43863	P9WKG1	Uniprot/SWISSPROT	NONE	100	100	-
Rv1111c	CCP43864	CCP43864	O86351	Uniprot/SPTREMBL	NONE	100	100	-
Rv1112	CCP43865	CCP43865	O53459	Uniprot/SPTREMBL	NONE	100	100	-
Rv1113	CCP43866	CCP43866	P9WJ33	Uniprot/SWISSPROT	NONE	100	100	-
Rv1114	CCP43867	CCP43867	P9WF73	Uniprot/SWISSPROT	NONE	100	100	-
Rv1115	CCP43868	CCP43868	O06567	Uniprot/SPTREMBL	NONE	100	100	-
Rv1116	CCP43869	CCP43869	O06568	Uniprot/SPTREMBL	NONE	100	100	-
Rv1116A	CCP43870	CCP43870	L7N6A9	Uniprot/SPTREMBL	NONE	100	100	-
Rv1117	CCP43871	CCP43871	O06569	Uniprot/SPTREMBL	NONE	100	100	-
Rv1118c	CCP43872	CCP43872	O06570	Uniprot/SPTREMBL	NONE	100	100	-
Rv1119c	CCP43873	CCP43873	O06571	Uniprot/SPTREMBL	NONE	100	100	-
Rv1120c	CCP43874	CCP43874	O06572	Uniprot/SPTREMBL	NONE	100	100	-
Rv1121	CCP43875	CCP43875	P9WN71	Uniprot/SWISSPROT	NONE	100	100	-
Rv1122	CCP43876	CCP43876	O06574	Uniprot/SPTREMBL	NONE	100	100	-
Rv1123c	CCP43877	CCP43877	O06575	Uniprot/SPTREMBL	NONE	100	100	-
Rv1124	CCP43878	CCP43878	O06576	Uniprot/SPTREMBL	NONE	100	100	-
Rv1125	CCP43879	CCP43879	O06577	Uniprot/SPTREMBL	NONE	100	100	-
Rv1126c	CCP43880	CCP43880	O06578	Uniprot/SPTREMBL	NONE	100	100	-
Rv1127c	CCP43881	CCP43881	O06579	Uniprot/SPTREMBL	NONE	100	100	-
Rv1128c	CCP43882	CCP43882	P9WM57	Uniprot/SWISSPROT	NONE	100	100	-
Rv1129c	CCP43883	CCP43883	O06581	Uniprot/SWISSPROT	NONE	100	100	-
Rv1130	CCP43884	CCP43884	O06582	Uniprot/SWISSPROT	NONE	100	100	-
Rv1131	CCP43885	CCP43885	I6Y9Q3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1132	CCP43886	CCP43886	O06583	Uniprot/SPTREMBL	NONE	100	100	-
Rv1133c	CCP43887	CCP43887	P9WK07	Uniprot/SWISSPROT	NONE	100	100	-
Rv1134	CCP43888	CCP43888	O06534	Uniprot/SPTREMBL	NONE	100	100	-
Rv1135c	CCP43889	CCP43889	P9WI29	Uniprot/SWISSPROT	NONE	100	100	-
Rv1135A	CCP43890	CCP43890	L7N682	Uniprot/SPTREMBL	NONE	100	100	-
Rv1136	CCP43891	CCP43891	O06536	Uniprot/SPTREMBL	NONE	100	100	-
Rv1137c	CCP43892	CCP43892	O06537	Uniprot/SPTREMBL	NONE	100	100	-
Rv1138c	CCP43893	CCP43893	O06538	Uniprot/SPTREMBL	NONE	100	100	-
Rv1139c	CCP43894	CCP43894	O06539	Uniprot/SPTREMBL	NONE	100	100	-
Rv1140	CCP43895	CCP43895	O06540	Uniprot/SPTREMBL	NONE	100	100	-
Rv1141c	CCP43896	CCP43896	O06541	Uniprot/SPTREMBL	NONE	100	100	-
Rv1142c	CCP43897	CCP43897	O06542	Uniprot/SPTREMBL	NONE	100	100	-
Rv1143	CCP43898	CCP43898	O06543	Uniprot/SPTREMBL	NONE	100	100	-
Rv1144	CCP43899	CCP43899	P9WGQ7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1145	CCP43900	CCP43900	O06545	Uniprot/SPTREMBL	NONE	100	100	-
Rv1146	CCP43901	CCP43901	O06546	Uniprot/SPTREMBL	NONE	100	100	-
Rv1147	CCP43902	CCP43902	O06547	Uniprot/SPTREMBL	NONE	100	100	-
Rv1148c	CCP43903	CCP43903	P9WM55	Uniprot/SWISSPROT	NONE	100	100	-
Rv1149	CCP43904	CCP43904	L0T897	Uniprot/SPTREMBL	NONE	100	100	-
Rv1151c	CCP43906	CCP43906	P9WGG3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1152	CCP43907	CCP43907	O06550	Uniprot/SPTREMBL	NONE	100	100	-
Rv1153c	CCP43908	CCP43908	O06551	Uniprot/SPTREMBL	NONE	100	100	-
Rv1154c	CCP43909	CCP43909	O06552	Uniprot/SPTREMBL	NONE	100	100	-
Rv1155	CCP43910	CCP43910	O06553	Uniprot/SWISSPROT	NONE	100	100	-
Rv1156	CCP43911	CCP43911	O06554	Uniprot/SPTREMBL	NONE	100	100	-
Rv1157c	CCP43912	CCP43912	O06555	Uniprot/SPTREMBL	NONE	100	100	-
Rv1158c	CCP43913	CCP43913	O06556	Uniprot/SPTREMBL	NONE	100	100	-
Rv1159	CCP43914	CCP43914	P9WN01	Uniprot/SWISSPROT	NONE	100	100	-
Rv1159A	CCP43915	CCP43915	P9WI93	Uniprot/SWISSPROT	NONE	100	100	-
Rv1160	CCP43916	CCP43916	P9WIY1	Uniprot/SWISSPROT	NONE	100	100	-
Rv1161	CCP43917	CCP43917	P9WJQ3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1162	CCP43918	CCP43918	O06560	Uniprot/SPTREMBL	NONE	100	100	-
Rv1163	CCP43919	CCP43919	O06561	Uniprot/SPTREMBL	NONE	100	100	-
Rv1164	CCP43920	CCP43920	O06562	Uniprot/SPTREMBL	NONE	100	100	-
Rv1165	CCP43921	CCP43921	O06563	Uniprot/SPTREMBL	NONE	100	100	-
Rv1166	CCP43922	CCP43922	P9WGU7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1167c	CCP43923	CCP43923	O50423	Uniprot/SPTREMBL	NONE	100	100	-
Rv1168c	CCP43924	CCP43924	P9WI27	Uniprot/SWISSPROT	NONE	100	100	-
Rv1169c	CCP43925	CCP43925	Q79FR5	Uniprot/SPTREMBL	NONE	100	100	-
Rv1170	CCP43926	CCP43926	P9WJN3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1171	CCP43927	CCP43927	O50427	Uniprot/SPTREMBL	NONE	100	100	-
Rv1172c	CCP43928	CCP43928	L7N693	Uniprot/SPTREMBL	NONE	100	100	-
Rv1173	CCP43929	CCP43929	P9WP77	Uniprot/SWISSPROT	NONE	100	100	-
Rv1174c	CCP43930	CCP43930	O50430	Uniprot/SPTREMBL	NONE	100	100	-
Rv1175c	CCP43931	CCP43931	O50431	Uniprot/SPTREMBL	NONE	100	100	-
Rv1176c	CCP43932	CCP43932	O50432	Uniprot/SPTREMBL	NONE	100	100	-
Rv1177	CCP43933	CCP43933	O50433	Uniprot/SPTREMBL	NONE	100	100	-
Rv1178	CCP43934	CCP43934	O50434	Uniprot/SPTREMBL	NONE	100	100	-
Rv1179c	CCP43935	CCP43935	O50435	Uniprot/SPTREMBL	NONE	100	100	-
Rv1180	CCP43936	CCP43936	L0T5X5	Uniprot/SPTREMBL	NONE	100	100	-
Rv1181	CCP43937	CCP43937	L0T647	Uniprot/SPTREMBL	NONE	100	100	-
Rv1182	CCP43938	CCP43938	P9WIK5	Uniprot/SWISSPROT	NONE	100	100	-
Rv1183	CCP43939	CCP43939	P9WJU1	Uniprot/SWISSPROT	NONE	100	100	-
Rv1184c	CCP43940	CCP43940	O50440	Uniprot/SWISSPROT	NONE	100	100	-
Rv1185c	CCP43941	CCP43941	P9WQ49	Uniprot/SWISSPROT	NONE	100	100	-
Rv1186c	CCP43942	CCP43942	O50442	Uniprot/SPTREMBL	NONE	100	100	-
Rv1187	CCP43943	CCP43943	O50443	Uniprot/SPTREMBL	NONE	100	100	-
Rv1188	CCP43944	CCP43944	O50444	Uniprot/SPTREMBL	NONE	100	100	-
Rv1189	CCP43945	CCP43945	P9WGH3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1190	CCP43946	CCP43946	O86348	Uniprot/SPTREMBL	NONE	100	100	-
Rv1191	CCP43947	CCP43947	O05293	Uniprot/SPTREMBL	NONE	100	100	-
Rv1192	CCP43948	CCP43948	O05294	Uniprot/SPTREMBL	NONE	100	100	-
Rv1193	CCP43949	CCP43949	O05295	Uniprot/SPTREMBL	NONE	100	100	-
Rv1194c	CCP43950	CCP43950	O05296	Uniprot/SPTREMBL	NONE	100	100	-
Rv1195	CCP43951	CCP43951	Q79FR3	Uniprot/SPTREMBL	NONE	100	100	-
Rv1196	CCP43952	CCP43952	L7N675	Uniprot/SPTREMBL	NONE	100	100	-
Rv1197	CCP43953	CCP43953	P9WNJ7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1198	CCP43954	CCP43954	P9WNJ5	Uniprot/SWISSPROT	NONE	100	100	-
Rv1199c	CCP43955	CCP43955	P60230	Uniprot/SWISSPROT	NONE	100	100	-
Rv1200	CCP43956	CCP43956	O05301	Uniprot/SPTREMBL	NONE	100	100	-
Rv1201c	CCP43957	CCP43957	P9WP21	Uniprot/SWISSPROT	NONE	100	100	-
Rv1202	CCP43958	CCP43958	P9WHS9	Uniprot/SWISSPROT	NONE	100	100	-
Rv1203c	CCP43959	CCP43959	O05304	Uniprot/SPTREMBL	NONE	100	100	-
Rv1204c	CCP43960	CCP43960	O05305	Uniprot/SPTREMBL	NONE	100	100	-
Rv1205	CCP43961	CCP43961	O05306	Uniprot/SWISSPROT	NONE	100	100	-
Rv1206	CCP43962	CCP43962	O05307	Uniprot/SPTREMBL	NONE	100	100	-
Rv1207	CCP43963	CCP43963	P9WNC9	Uniprot/SWISSPROT	NONE	100	100	-
Rv1208	CCP43964	CCP43964	P9WMW9	Uniprot/SWISSPROT	NONE	100	100	-
Rv1209	CCP43965	CCP43965	O05310	Uniprot/SPTREMBL	NONE	100	100	-
Rv1210	CCP43966	CCP43966	O05311	Uniprot/SPTREMBL	NONE	100	100	-
Rv1211	CCP43967	CCP43967	O05312	Uniprot/SPTREMBL	NONE	100	100	-
Rv1212c	CCP43968	CCP43968	P9WMZ1	Uniprot/SWISSPROT	NONE	100	100	-
Rv1213	CCP43969	CCP43969	P9WN43	Uniprot/SWISSPROT	NONE	100	100	-
Rv1214c	CCP43970	CCP43970	L7N6A7	Uniprot/SPTREMBL	NONE	100	100	-
Rv1215c	CCP43971	CCP43971	O05316	Uniprot/SPTREMBL	NONE	100	100	-
Rv1216c	CCP43972	CCP43972	O05317	Uniprot/SPTREMBL	NONE	100	100	-
Rv1217c	CCP43973	CCP43973	O05318	Uniprot/SPTREMBL	NONE	100	100	-
Rv1218c	CCP43974	CCP43974	O86311	Uniprot/SPTREMBL	NONE	100	100	-
Rv1219c	CCP43975	CCP43975	O86312	Uniprot/SPTREMBL	NONE	100	100	-
Rv1220c	CCP43976	CCP43976	P9WJZ7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1221	CCP43977	CCP43977	P9WGG7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1222	CCP43978	CCP43978	L0T905	Uniprot/SWISSPROT	NONE	100	100	-
Rv1223	CCP43979	CCP43979	O06291	Uniprot/SPTREMBL	NONE	100	100	-
Rv1224	CCP43980	CCP43980	P9WG99	Uniprot/SWISSPROT	NONE	100	100	-
Rv1225c	CCP43981	CCP43981	O33221	Uniprot/SPTREMBL	NONE	100	100	-
Rv1226c	CCP43982	CCP43982	O33222	Uniprot/SPTREMBL	NONE	100	100	-
Rv1227c	CCP43983	CCP43983	O33223	Uniprot/SPTREMBL	NONE	100	100	-
Rv1228	CCP43984	CCP43984	O33224	Uniprot/SPTREMBL	NONE	100	100	-
Rv1229c	CCP43985	CCP43985	P9WJN7	Uniprot/SWISSPROT	NONE	100	100	-
Rv1230c	CCP43986	CCP43986	O86313	Uniprot/SPTREMBL	NONE	100	100	-
Rv1231c	CCP43987	CCP43987	O86314	Uniprot/SPTREMBL	NONE	100	100	-
Rv1232c	CCP43988	CCP43988	O86315	Uniprot/SPTREMBL	NONE	100	100	-
Rv1233c	CCP43989	CCP43989	O86316	Uniprot/SPTREMBL	NONE	100	100	-
Rv1234	CCP43990	CCP43990	O50451	Uniprot/SPTREMBL	NONE	100	100	-
Rv1235	CCP43991	CCP43991	P9WGU9	Uniprot/SWISSPROT	NONE	100	100	-
Rv1236	CCP43992	CCP43992	P9WG03	Uniprot/SWISSPROT	NONE	100	100	-
Rv1237	CCP43993	CCP43993	P9WG01	Uniprot/SWISSPROT	NONE	100	100	-
Rv1238	CCP43994	CCP43994	P9WQI3	Uniprot/SWISSPROT	NONE	100	100	-
Rv1239c	CCP43995	CCP43995	O50455	Uniprot/SPTREMBL	NONE	100	100	-
Rv1240	CCP43996	CCP43996	P9WK13	Uniprot/SWISSPROT	NONE	100	100	-
Rv1241	CCP43997	CCP43997	O50456	Uniprot/SWISSPROT	NONE	100	100	-
Rv1242	CCP43998	CCP43998	P9WF69	Uniprot/SWISSPROT	NONE	100	100	-
Rv1243c	CCP43999	CCP43999	Q79FQ7	Uniprot/SPTREMBL	NONE	100	100	-
Rv1244	CCP44000	CCP44000	O50459	Uniprot/SPTREMBL	NONE	100	100	-
Rv1245c	CCP44001	CCP44001	O50460	Uniprot/SPTREMBL	NONE	100	100	-
Rv1246c	CCP44002	CCP44002	O50461	Uniprot/SWISSPROT	NONE	100	100	-
Rv1247c	CCP44003	CCP44003	O50462	Uniprot/SWISSPROT	NONE	100	100	-
Rv1248c	CCP44004	CCP44004	P9WIS5	Uniprot/SWISSPROT	NONE	100	100	-
Rv1249c	CCP44005	CCP44005	O50464	Uniprot/SPTREMBL	NONE	100	100	-
Rv1250	CCP44006	CCP44006	P9WG87	Uniprot/SWISSPROT	NONE	100	100	-
Rv1251c	CCP44007	CCP44007	O50466	Uniprot/SPTREMBL	NONE	100	100	-
Rv1252c	CCP44008	CCP44008	P9WK49	Uniprot/SWISSPROT	NONE	100	100	-
Rv1253	CCP44009	CCP44009	P9WH05	Uniprot/SWISSPROT	NONE	100	100	-
Rv1254	CCP44010	CCP44010	Q11064	Uniprot/SPTREMBL	NONE	100	100	-
Rv1255c	CCP44011	CCP44011	P9WMD5	Uniprot/SWISSPROT	NONE	100	100	-
