Location	Strand	Length	PID	lenght		Gene	Synonym	COG	sanger_anot	Possible DR/phage/PEPPE?	essential?	Annotation
3289705..3290235	3289705	3290235	+	176	57117039	-	Rv2943A	COG1484L	 IV.B.1	phage	nonessential	transposase
3289790..3290506	3289790	3290506	+	238	15610081	-	Rv2944	COG1484L	 IV.B.1	phage	nonessential	IS1533 transposase
3313283..3313672	3313283	3313672	+	129	15610098	-	Rv2961	COG3039L	 IV.B.1	phage	nonessential	transposase
3333785..3335164	3333785	3335164	-	459	15610115	-	Rv2978c	COG0675L	 IV.B.1	phage	nonessential	transposase
3376939..3378243	3376939	3378243	-	434	57117045	PPE46	Rv3018c	-	 IV.C.1	PE/PPE/PGRS	essential	PPE family protein
3378329..3378415	3378329	3378415	-	28	57117046	PE27A	Rv3018A	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
3379376..3380452	3379376	3380452	-	358	57117048	PPE47	Rv3021c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3380440..3380682	3380440	3380682	-	80	57117049	PPE48	Rv3022c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3380679..3380993	3380679	3380993	-	104	57117050	PE29	Rv3022A	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
3381375..3382622	3381375	3382622	-	415	15610160	-	Rv3023c	COG3328L	 IV.B.1	phage	nonessential	transposase
3465778..3467091	3465778	3467091	-	437	57117054	PE_PGRS63	Rv3097c	COG0657I	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3481451..3482698	3481451	3482698	+	415	15610252	-	Rv3115	COG3328L	 IV.B.1	phage	nonessential	transposase
3490476..3491651	3490476	3491651	-	391	57117062	PPE49	Rv3125c	-	 IV.C.1	PE/PPE/PGRS/DR-emb	nonessential	PPE family protein
3501334..3501732	3501334	3501732	+	132	57117064	PPE50	Rv3135	-	 IV.C.1	PE/PPE/PGRS	essential	PPE family protein
3501794..3502936	3501794	3502936	+	380	57117065	PPE51	Rv3136	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3510088..3511317	3510088	3511317	-	409	57117066	PPE52	Rv3144c	-	 VI	PE/PPE/PGRS	nonessential	PPE family protein
3527391..3529163	3527391	3529163	-	590	57117067	PPE53	Rv3159c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3551281..3551607	3551281	3551607	+	108	15610320	-	Rv3184	COG2963L	 IV.B.1	phage	nonessential	transposase
3551604..3552542	3551604	3552542	+	312	15610321	-	Rv3185	COG2801L	 IV.B.1	phage	nonessential	transposase
3552764..3553090	3552764	3553090	+	108	15610322	-	Rv3186	COG2963L	 IV.B.1	phage	nonessential	transposase
3553087..3554025	3553087	3554025	+	312	15610323	-	Rv3187	COG2801L	 IV.B.1	phage	nonessential	transposase
3557311..3558345	3557311	3558345	-	344	15610327	-	Rv3191c	COG2826L	 IV.B.1	phage	nonessential	transposase
3710433..3710759	3710433	3710759	+	108	15610461	-	Rv3325	COG2963L	 IV.B.1	phage	nonessential	transposase
3710756..3711694	3710756	3711694	+	312	15610462	-	Rv3326	COG2801L	 IV.B.1	phage	nonessential	transposase
3711749..3713461	3711749	3713461	+	570	15610463	-	Rv3327	COG2128S,COG3547L	 IV.B.1	phage	nonessential	transposase
3729364..3736935	3729364	3736935	-	2523	57117092	PPE54	Rv3343c	-	 IV.C.1	PE/PPE/PGRS	essential	PPE family protein
3736984..3738438	3736984	3738438	-	484	57117093	PE_PGRS49	Rv3344c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3738158..3742774	3738158	3742774	-	1538	57117094	PE_PGRS50	Rv3345c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3743711..3753184	3743711	3753184	-	3157	57117095	PPE55	Rv3347c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3753765..3754256	3753765	3754256	+	163	15610484	-	Rv3348	-	 IV.B.1	phage	nonessential	transposase
3754293..3755033	3754293	3755033	-	246	15610485	-	Rv3349c	COG3464L	 IV.B.1	phage	nonessential	transposase
3755952..3767102	3755952	3767102	-	3716	57117096	PPE56	Rv3350c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3778568..3780334	3778568	3780334	+	588	57117098	PE_PGRS51	Rv3367	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3795100..3795984	3795100	3795984	-	294	15610516	-	Rv3380c	COG2801L	 IV.B.1	phage	nonessential	transposase
3796035..3796361	3796035	3796361	-	108	15610517	-	Rv3381c	COG2963L	 IV.B.1	phage	nonessential	transposase
3800092..3800796	3800092	3800796	+	234	15610522	-	Rv3386	COG3039L	 IV.B.1	phage	nonessential	transposase
3800786..3801463	3800786	3801463	+	225	15610523	-	Rv3387	COG3039L	 IV.B.1	phage	nonessential	transposase
3801653..3803848	3801653	3803848	+	731	57117101	PE_PGRS52	Rv3388	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3842239..3842769	3842239	3842769	+	176	57117105	PPE57	Rv3425	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3843036..3843734	3843036	3843734	+	232	57117106	PPE58	Rv3426	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3843885..3844640	3843885	3844640	-	251	15610563	-	Rv3427c	COG1484L	 IV.B.1	phage	essential	transposase
3844738..3845970	3844738	3845970	-	410	15610564	-	Rv3428c	COG4584L	 IV.B.1	phage	nonessential	transposase
3847165..3847701	3847165	3847701	+	178	57117107	PPE59	Rv3429	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3883525..3884193	3883525	3884193	+	222	15610602	-	Rv3466	-	 V	repeat13E12	nonessential	hypothetical protein
3883964..3884917	3883964	3884917	+	317	15610603	-	Rv3467	-	 V	repeat13E12	nonessential	hypothetical protein
3890830..3891156	3890830	3891156	+	108	15610610	-	Rv3474	COG2963L	 IV.B.1	phage	nonessential	transposase IS6110
3891051..3892091	3891051	3892091	+	346	15610611	-	Rv3475	COG2801L	 IV.B.1	phage	nonessential	transposase IS6110
3894093..3894389	3894093	3894389	+	98	57117110	PE31	Rv3477	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
3894426..3895607	3894426	3895607	+	393	57117111	PPE60	Rv3478	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
3926569..3930714	3926569	3930714	+	1381	57117114	PE_PGRS53	Rv3507	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3931005..3936710	3931005	3936710	+	1901	57117115	PE_PGRS54	Rv3508	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3939617..3941761	3939617	3941761	+	714	57117116	PE_PGRS55	Rv3511	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3941724..3944963	3941724	3944963	+	1079	57117117	PE_PGRS56	Rv3512	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3945794..3950263	3945794	3950263	+	1489	57117118	PE_PGRS57	Rv3514	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
3969343..3970563	3969343	3970563	+	406	57117120	PPE61	Rv3532	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3970705..3972453	3970705	3972453	-	582	57117121	PPE62	Rv3533c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3978059..3979498	3978059	3979498	+	479	57117123	PPE63	Rv3539	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
3997980..3999638	3997980	3999638	+	552	57117124	PPE64	Rv3558	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
4031404..4033158	4031404	4033158	-	584	57117129	PE_PGRS58	Rv3590c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
4036731..4038050	4036731	4038050	-	439	57117130	PE_PGRS59	Rv3595c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
4060648..4061889	4060648	4061889	-	413	57117135	PPE65	Rv3621c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
4061899..4062198	4061899	4062198	-	99	57117136	PE32	Rv3622c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
4075752..4076099	4075752	4076099	+	115	15610772	-	Rv3636	COG4584L	 IV.B.1	phage	nonessential	transposase
4076484..4076984	4076484	4076984	+	166	15610773	-	Rv3637	COG4584L	 IV.B.1	phage	nonessential	transposase
4076984..4077730	4076984	4077730	+	248	15610774	-	Rv3638	COG1484L	 IV.B.1	phage	nonessential	transposase
4091233..4091517	4091233	4091517	+	94	57117138	PE33	Rv3650	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
4093632..4093946	4093632	4093946	+	104	57117139	PE_PGRS60	Rv3652	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family-related protein
4093940..4094527	4093940	4094527	+	195	57117140	PE_PGRS61	Rv3653	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family-related protein
4189285..4190232	4189285	4190232	-	315	57117150	PPE66	Rv3738c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
4190284..4190517	4190284	4190517	-	77	57117151	PPE67	Rv3739c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
4196171..4196506	4196171	4196506	-	111	57117152	PE34	Rv3746c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
4198874..4199089	4198874	4199089	+	71	15610887	-	Rv3751	COG0582L	 IV.B.3	phage	nonessential	integrase
4252993..4254327	4252993	4254327	+	444	15610934	-	Rv3798	COG3464L	 IV.B.1	phage	nonessential	transposase
4276571..4278085	4276571	4278085	+	504	57117161	PE_PGRS62	Rv3812	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE-PGRS family protein
4301563..4302789	4301563	4302789	-	408	15610963	-	Rv3827c	COG0675L	 IV.B.1	phage	nonessential	transposase
4318775..4319266	4318775	4319266	+	163	15610980	-	Rv3844	-	 IV.B.1	phage	nonessential	transposase
4350745..4351044	4350745	4351044	+	99	57117163	PE35	Rv3872	-	 VI	PE/PPE/PGRS	essential	PE family-related protein
4351075..4352181	4351075	4352181	+	368	57117164	PPE68	Rv3873	-	 IV.C.1	PE/PPE/PGRS	essential	PPE family protein
4374484..4375683	4374484	4375683	-	399	57117166	PPE69	Rv3892c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PPE family protein
4375762..4375995	4375762	4375995	-	77	57117167	PE36	Rv3893c	-	 IV.C.1	PE/PPE/PGRS	nonessential	PE family protein
